# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C energy__IN1__hl__ACQ_1 of NOR2D4 T92 W1
C energy__IN2__lh__ACQ_1 of NOR2D4 T93 W1
C energy__IN2__hl__ACQ_1 of NOR2D4 T94 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of NOR2D4 T95 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of NOR2D4 T96 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of NOR2D4 T97 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of NOR2D4 T98 W1
C leakage_power__ACQ_1 of NOR2D8 T99 W1
C energy__IN1__lh__ACQ_1 of NOR2D8 T100 W1
C energy__IN1__hl__ACQ_1 of NOR2D8 T101 W1
C energy__IN2__lh__ACQ_1 of NOR2D8 T102 W1
C energy__IN2__hl__ACQ_1 of NOR2D8 T103 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of NOR2D8 T104 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of NOR2D8 T105 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of NOR2D8 T106 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of NOR2D8 T107 W1
C leakage_power__ACQ_1 of OR2D1 T108 W1
C energy__IN1__lh__ACQ_1 of OR2D1 T109 W1
C energy__IN1__hl__ACQ_1 of OR2D1 T110 W1
C energy__IN2__lh__ACQ_1 of OR2D1 T111 W1
C energy__IN2__hl__ACQ_1 of OR2D1 T112 W1
C delay__IN1__lh__OUT__lh__ACQ_1 of OR2D1 T113 W1
C delay__IN1__hl__OUT__hl__ACQ_1 of OR2D1 T114 W1
C delay__IN2__lh__OUT__lh__ACQ_1 of OR2D1 T115 W1
C delay__IN2__hl__OUT__hl__ACQ_1 of OR2D1 T116 W1
C leakage_power__ACQ_1 of OR2D2 T117 W1
C energy__IN1__lh__ACQ_1 of OR2D2 T118 W1
C energy__IN1__hl__ACQ_1 of OR2D2 T119 W1
C energy__IN2__lh__ACQ_1 of OR2D2 T120 W1
C energy__IN2__hl__ACQ_1 of OR2D2 T121 W1
C delay__IN1__lh__OUT__lh__ACQ_1 of OR2D2 T122 W1
C delay__IN1__hl__OUT__hl__ACQ_1 of OR2D2 T123 W1
C delay__IN2__lh__OUT__lh__ACQ_1 of OR2D2 T124 W1
C delay__IN2__hl__OUT__hl__ACQ_1 of OR2D2 T125 W1
C leakage_power__ACQ_1 of OR2D4 T126 W1
C energy__IN1__lh__ACQ_1 of OR2D4 T127 W1
C energy__IN1__hl__ACQ_1 of OR2D4 T128 W1
C energy__IN2__lh__ACQ_1 of OR2D4 T129 W1
C energy__IN2__hl__ACQ_1 of OR2D4 T130 W1
C delay__IN1__lh__OUT__lh__ACQ_1 of OR2D4 T131 W1
C delay__IN1__hl__OUT__hl__ACQ_1 of OR2D4 T132 W1
C delay__IN2__lh__OUT__lh__ACQ_1 of OR2D4 T133 W1
C delay__IN2__hl__OUT__hl__ACQ_1 of OR2D4 T134 W1
C leakage_power__ACQ_1 of OR2D8 T135 W1
C energy__IN1__lh__ACQ_1 of OR2D8 T136 W1
C energy__IN1__hl__ACQ_1 of OR2D8 T137 W1
C energy__IN2__lh__ACQ_1 of OR2D8 T138 W1
C energy__IN2__hl__ACQ_1 of OR2D8 T139 W1
C delay__IN1__lh__OUT__lh__ACQ_1 of OR2D8 T140 W1
C delay__IN1__hl__OUT__hl__ACQ_1 of OR2D8 T141 W1
C delay__IN2__lh__OUT__lh__ACQ_1 of OR2D8 T142 W1
C delay__IN2__hl__OUT__hl__ACQ_1 of OR2D8 T143 W1
C leakage_power__ACQ_1 of XNOR2D1 T144 W1
C delay__IN1__lh__OUT__lh__ACQ_1 of XNOR2D1 T145 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of XNOR2D1 T146 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of XNOR2D1 T147 W1
C delay__IN1__hl__OUT__hl__ACQ_1 of XNOR2D1 T148 W1
C delay__IN2__lh__OUT__lh__ACQ_1 of XNOR2D1 T149 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of XNOR2D1 T150 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of XNOR2D1 T151 W1
C delay__IN2__hl__OUT__hl__ACQ_1 of XNOR2D1 T152 W1
C leakage_power__ACQ_1 of XNOR2D2 T153 W1
C delay__IN1__lh__OUT__lh__ACQ_1 of XNOR2D2 T154 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of XNOR2D2 T155 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of XNOR2D2 T156 W1
C delay__IN1__hl__OUT__hl__ACQ_1 of XNOR2D2 T157 W1
C delay__IN2__lh__OUT__lh__ACQ_1 of XNOR2D2 T158 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of XNOR2D2 T159 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of XNOR2D2 T160 W1
C delay__IN2__hl__OUT__hl__ACQ_1 of XNOR2D2 T161 W1
C leakage_power__ACQ_1 of XNOR2D4 T162 W1
C delay__IN1__lh__OUT__lh__ACQ_1 of XNOR2D4 T163 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of XNOR2D4 T164 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of XNOR2D4 T165 W1
C delay__IN1__hl__OUT__hl__ACQ_1 of XNOR2D4 T166 W1
C delay__IN2__lh__OUT__lh__ACQ_1 of XNOR2D4 T167 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of XNOR2D4 T168 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of XNOR2D4 T169 W1
C delay__IN2__hl__OUT__hl__ACQ_1 of XNOR2D4 T170 W1
C leakage_power__ACQ_1 of XNOR2D8 T171 W1
C delay__IN1__lh__OUT__lh__ACQ_1 of XNOR2D8 T172 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of XNOR2D8 T173 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of XNOR2D8 T174 W1
C delay__IN1__hl__OUT__hl__ACQ_1 of XNOR2D8 T175 W1
C delay__IN2__lh__OUT__lh__ACQ_1 of XNOR2D8 T176 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of XNOR2D8 T177 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of XNOR2D8 T178 W1
C delay__IN2__hl__OUT__hl__ACQ_1 of XNOR2D8 T179 W1
C leakage_power__ACQ_1 of XOR2D1 T180 W1
C delay__IN1__lh__OUT__lh__ACQ_1 of XOR2D1 T181 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of XOR2D1 T182 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of XOR2D1 T183 W1
C delay__IN1__hl__OUT__hl__ACQ_1 of XOR2D1 T184 W1
C delay__IN2__lh__OUT__lh__ACQ_1 of XOR2D1 T185 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of XOR2D1 T186 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of XOR2D1 T187 W1
C delay__IN2__hl__OUT__hl__ACQ_1 of XOR2D1 T188 W1
C leakage_power__ACQ_1 of XOR2D2 T189 W1
C delay__IN1__lh__OUT__lh__ACQ_1 of XOR2D2 T190 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of XOR2D2 T191 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of XOR2D2 T192 W1
C delay__IN1__hl__OUT__hl__ACQ_1 of XOR2D2 T193 W1
C delay__IN2__lh__OUT__lh__ACQ_1 of XOR2D2 T194 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of XOR2D2 T195 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of XOR2D2 T196 W1
C delay__IN2__hl__OUT__hl__ACQ_1 of XOR2D2 T197 W1
C leakage_power__ACQ_1 of XOR2D4 T198 W1
C delay__IN1__lh__OUT__lh__ACQ_1 of XOR2D4 T199 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of XOR2D4 T200 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of XOR2D4 T201 W1
