# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C delay__IN2__hl__OUT__lh__ACQ_1 of NOR2D8 T92 W1
C leakage_power__ACQ_1 of INVD1 T93 W1
C delay__IN__lh__OUT__hl__ACQ_1 of INVD1 T94 W1
C delay__IN__hl__OUT__lh__ACQ_1 of INVD1 T95 W1
C leakage_power__ACQ_1 of INVD2 T96 W1
C delay__IN__lh__OUT__hl__ACQ_1 of INVD2 T97 W1
C delay__IN__hl__OUT__lh__ACQ_1 of INVD2 T98 W1
C leakage_power__ACQ_1 of INVD4 T99 W1
C delay__IN__lh__OUT__hl__ACQ_1 of INVD4 T100 W1
C delay__IN__hl__OUT__lh__ACQ_1 of INVD4 T101 W1
C leakage_power__ACQ_1 of INVD8 T102 W1
C delay__IN__lh__OUT__hl__ACQ_1 of INVD8 T103 W1
C delay__IN__hl__OUT__lh__ACQ_1 of INVD8 T104 W1
